datetime,symbol,open,high,low,close,volume
2024-08-20 21:36:00,TAIFEX:TXF1!,22388.0,22397.0,22386.0,22391.0,12.0
2024-08-20 21:37:00,TAIFEX:TXF1!,22391.0,22394.0,22378.0,22381.0,39.0
2024-08-20 21:38:00,TAIFEX:TXF1!,22379.0,22390.0,22379.0,22385.0,8.0
2024-08-20 21:39:00,TAIFEX:TXF1!,22389.0,22389.0,22377.0,22378.0,19.0
2024-08-20 21:40:00,TAIFEX:TXF1!,22379.0,22385.0,22377.0,22380.0,5.0
2024-08-20 21:41:00,TAIFEX:TXF1!,22380.0,22387.0,22380.0,22387.0,8.0
2024-08-20 21:42:00,TAIFEX:TXF1!,22393.0,22398.0,22393.0,22393.0,7.0
2024-08-20 21:43:00,TAIFEX:TXF1!,22388.0,22388.0,22381.0,22381.0,7.0
2024-08-20 21:44:00,TAIFEX:TXF1!,22380.0,22395.0,22380.0,22394.0,14.0
2024-08-20 21:45:00,TAIFEX:TXF1!,22392.0,22398.0,22392.0,22396.0,12.0
2024-08-20 21:46:00,TAIFEX:TXF1!,22396.0,22396.0,22393.0,22393.0,2.0
2024-08-20 21:47:00,TAIFEX:TXF1!,22392.0,22392.0,22391.0,22391.0,2.0
2024-08-20 21:48:00,TAIFEX:TXF1!,22400.0,22414.0,22400.0,22412.0,24.0
2024-08-20 21:49:00,TAIFEX:TXF1!,22411.0,22415.0,22409.0,22409.0,21.0
2024-08-20 21:50:00,TAIFEX:TXF1!,22408.0,22410.0,22408.0,22410.0,16.0
2024-08-20 21:51:00,TAIFEX:TXF1!,22407.0,22407.0,22401.0,22402.0,9.0
2024-08-20 21:52:00,TAIFEX:TXF1!,22405.0,22412.0,22404.0,22412.0,6.0
2024-08-20 21:53:00,TAIFEX:TXF1!,22414.0,22428.0,22414.0,22423.0,30.0
2024-08-20 21:54:00,TAIFEX:TXF1!,22429.0,22432.0,22429.0,22432.0,12.0
2024-08-20 21:55:00,TAIFEX:TXF1!,22432.0,22433.0,22432.0,22432.0,6.0
2024-08-20 21:56:00,TAIFEX:TXF1!,22426.0,22426.0,22424.0,22424.0,2.0
2024-08-20 21:57:00,TAIFEX:TXF1!,22425.0,22433.0,22425.0,22431.0,45.0
2024-08-20 21:58:00,TAIFEX:TXF1!,22431.0,22443.0,22431.0,22435.0,34.0
2024-08-20 21:59:00,TAIFEX:TXF1!,22435.0,22435.0,22433.0,22433.0,2.0
2024-08-20 22:00:00,TAIFEX:TXF1!,22433.0,22440.0,22432.0,22432.0,15.0
2024-08-20 22:01:00,TAIFEX:TXF1!,22432.0,22432.0,22414.0,22419.0,17.0
2024-08-20 22:02:00,TAIFEX:TXF1!,22423.0,22423.0,22420.0,22422.0,5.0
2024-08-20 22:03:00,TAIFEX:TXF1!,22423.0,22425.0,22423.0,22425.0,3.0
2024-08-20 22:04:00,TAIFEX:TXF1!,22423.0,22423.0,22419.0,22419.0,14.0
2024-08-20 22:05:00,TAIFEX:TXF1!,22419.0,22419.0,22419.0,22419.0,3.0
2024-08-20 22:06:00,TAIFEX:TXF1!,22419.0,22421.0,22418.0,22419.0,5.0
2024-08-20 22:07:00,TAIFEX:TXF1!,22425.0,22426.0,22425.0,22426.0,6.0
2024-08-20 22:08:00,TAIFEX:TXF1!,22423.0,22423.0,22423.0,22423.0,1.0
