datetime,symbol,open,high,low,close,volume
2024-08-20 17:15:00,TAIFEX:TXF1!,22407.0,22418.0,22407.0,22415.0,8.0
2024-08-20 17:16:00,TAIFEX:TXF1!,22415.0,22420.0,22415.0,22416.0,5.0
2024-08-20 17:17:00,TAIFEX:TXF1!,22423.0,22427.0,22422.0,22427.0,8.0
2024-08-20 17:18:00,TAIFEX:TXF1!,22429.0,22433.0,22427.0,22433.0,24.0
2024-08-20 17:19:00,TAIFEX:TXF1!,22435.0,22435.0,22428.0,22434.0,4.0
2024-08-20 17:20:00,TAIFEX:TXF1!,22429.0,22432.0,22428.0,22428.0,4.0
2024-08-20 17:21:00,TAIFEX:TXF1!,22428.0,22428.0,22423.0,22428.0,13.0
2024-08-20 17:22:00,TAIFEX:TXF1!,22428.0,22432.0,22428.0,22432.0,4.0
2024-08-20 17:23:00,TAIFEX:TXF1!,22427.0,22432.0,22427.0,22427.0,3.0
2024-08-20 17:24:00,TAIFEX:TXF1!,22428.0,22433.0,22428.0,22433.0,2.0
2024-08-20 17:25:00,TAIFEX:TXF1!,22429.0,22433.0,22428.0,22432.0,6.0
2024-08-20 17:26:00,TAIFEX:TXF1!,22428.0,22428.0,22428.0,22428.0,2.0
2024-08-20 17:27:00,TAIFEX:TXF1!,22432.0,22432.0,22428.0,22428.0,3.0
2024-08-20 17:29:00,TAIFEX:TXF1!,22427.0,22430.0,22426.0,22430.0,4.0
2024-08-20 17:30:00,TAIFEX:TXF1!,22425.0,22427.0,22421.0,22421.0,5.0
2024-08-20 17:31:00,TAIFEX:TXF1!,22420.0,22420.0,22420.0,22420.0,1.0
2024-08-20 17:32:00,TAIFEX:TXF1!,22420.0,22421.0,22416.0,22416.0,5.0
2024-08-20 17:33:00,TAIFEX:TXF1!,22420.0,22421.0,22420.0,22421.0,2.0
2024-08-20 17:34:00,TAIFEX:TXF1!,22421.0,22421.0,22421.0,22421.0,1.0
2024-08-20 17:35:00,TAIFEX:TXF1!,22419.0,22423.0,22419.0,22423.0,7.0
2024-08-20 17:36:00,TAIFEX:TXF1!,22418.0,22420.0,22418.0,22418.0,11.0
2024-08-20 17:37:00,TAIFEX:TXF1!,22416.0,22416.0,22415.0,22415.0,3.0
2024-08-20 17:39:00,TAIFEX:TXF1!,22415.0,22415.0,22415.0,22415.0,1.0
2024-08-20 17:40:00,TAIFEX:TXF1!,22420.0,22420.0,22412.0,22419.0,7.0
2024-08-20 17:41:00,TAIFEX:TXF1!,22419.0,22423.0,22419.0,22423.0,2.0
2024-08-20 17:42:00,TAIFEX:TXF1!,22424.0,22428.0,22424.0,22428.0,8.0
2024-08-20 17:43:00,TAIFEX:TXF1!,22421.0,22421.0,22420.0,22420.0,3.0
2024-08-20 17:45:00,TAIFEX:TXF1!,22419.0,22420.0,22418.0,22420.0,4.0
2024-08-20 17:46:00,TAIFEX:TXF1!,22416.0,22416.0,22416.0,22416.0,5.0
2024-08-20 17:47:00,TAIFEX:TXF1!,22416.0,22416.0,22416.0,22416.0,1.0
